iter	RMSE
410	3328.441934
411	3326.193279
412	3324.180413
413	3323.382114
414	3322.599063
415	3321.465535
416	3318.390681
417	3317.875693
418	3316.894819
419	3315.951112
420	3314.421629
421	3313.228402
422	3310.266968
423	3309.753798
424	3309.311946
425	3308.422627
426	3305.403709
427	3303.237078
428	3302.145097
429	3299.143197
430	3296.93532
431	3294.440573
432	3292.547272
433	3291.344503
434	3290.850364
435	3288.054644
436	3285.137187
437	3282.439194
438	3282.086377
439	3278.226594
440	3274.49709
441	3272.231482
442	3271.784954
443	3271.291257
444	3270.923229
445	3270.599032
446	3267.988665
447	3267.626987
448	3267.175567
449	3266.351174
450	3265.51495
451	3265.021287
452	3262.979713
453	3261.052178
454	3259.385246
455	3256.972688
456	3253.788712
457	3252.251282
458	3249.521343
459	3248.525366
460	3247.800718
461	3246.075075
462	3243.074512
463	3241.859401
464	3240.085069
465	3239.107556
466	3236.086787
467	3235.280505
468	3232.940763
469	3232.150767
470	3229.266632
471	3227.986351
472	3226.014241
473	3223.269673
474	3221.722194
475	3220.432913
476	3217.681546
477	3216.45712
478	3215.100546
479	3213.42231
480	3211.365284
481	3209.767524
482	3209.353636
483	3208.959043
484	3208.467976
485	3205.864272
486	3204.351383
487	3203.261431
488	3201.650814
489	3198.565423
490	3197.981678
491	3196.355516
492	3195.288785
493	3193.62642
494	3191.330721
495	3189.293717
496	3187.84763
497	3185.243679
498	3182.470177
499	3181.013451
500	3179.606405
501	3176.606168
502	3173.863974
503	3173.695294
504	3172.525702
505	3171.042512
506	3167.897487
507	3167.203249
508	3165.379348
509	3165.022428
510	3163.863379
511	3162.394725
512	3160.860103
513	3158.773849
514	3157.284361
515	3155.278772
516	3151.990176
517	3150.074192
518	3147.815001
519	3145.935289
520	3143.701499
521	3143.423631
522	3143.176766
523	3142.811734
524	3142.445091
525	3141.608926
526	3140.644902
527	3140.410757
528	3139.048528
529	3136.814805
530	3136.646697
531	3134.377901
532	3133.568063
533	3133.065265
534	3132.780366
535	3129.742174
536	3128.366148
537	3124.526531
538	3122.77283
539	3122.538569
540	3120.286938
541	3118.440209
542	3115.995735
543	3115.827198
544	3112.200421
545	3112.048154
546	3110.4488
547	3108.216249
548	3104.954991
549	3102.285098
550	3102.169769
551	3099.380691
552	3096.588934
553	3096.378898
554	3094.054053
555	3093.44364
556	3091.760503
557	3090.104904
558	3088.165306
559	3086.671863
560	3084.311058
561	3081.230202
562	3079.942185
563	3079.310012
564	3078.526197
565	3075.643375
566	3072.246825
567	3069.244154
568	3069.089585
569	3068.946565
570	3068.18325
571	3067.859682
572	3065.390336
573	3063.228639
574	3060.970113
575	3060.832193
576	3058.907855
577	3057.154736
578	3054.434907
579	3052.085053
580	3050.81126
581	3049.899606
582	3048.662224
583	3045.724088
584	3043.771979
585	3043.613449
586	3040.792256
587	3037.932101
588	3036.909665
589	3034.39186
590	3034.034321
591	3033.296278
592	3032.127322
593	3028.568702
594	3026.583302
595	3024.321036
596	3021.845437
597	3019.888783
598	3017.64921
599	3017.47443
600	3014.72379
601	3012.596193
602	3010.44439
603	3006.936916
604	3006.518229
605	3004.266815
606	3004.082705
607	3000.881225
608	2999.168259
609	2998.31312
610	2994.958883
611	2994.274108
612	2992.088623
613	2991.012081
614	2990.843068
615	2990.152768
616	2987.229673
617	2984.542893
618	2983.210678
619	2982.488029
620	2980.06307
621	2977.917082
622	2977.785595
623	2974.361906
624	2973.592325
625	2972.047783
626	2969.915434
627	2969.789592
628	2967.221452
629	2965.297245
630	2963.746287
631	2960.812253
632	2958.546046
633	2956.609739
634	2955.517378
635	2952.654592
636	2950.676629
637	2947.539192
638	2945.505616
639	2943.080126
640	2942.165963
641	2939.881934
642	2938.881885
643	2938.223065
644	2935.682855
645	2933.604663
646	2931.277935
647	2927.430557
648	2926.659055
649	2924.100269
650	2923.07556
651	2921.449645
652	2920.49524
653	2918.326265
654	2916.240359
655	2914.398309
656	2912.560728
657	2911.332907
658	2908.372796
659	2906.29517
660	2905.019985
661	2904.098172
662	2901.746746
663	2899.928397
664	2899.075443
665	2897.252706
666	2895.680616
667	2894.894259
668	2893.339118
669	2890.626453
670	2889.40464
671	2888.729917
672	2887.470144
673	2886.078054
674	2885.172909
675	2882.788651
676	2882.583389
677	2881.329204
678	2878.196182
679	2877.28768
680	2875.827251
681	2872.822092
682	2871.910417
683	2870.036323
684	2868.955868
685	2867.525267
686	2866.997632
687	2864.497393
688	2863.327331
689	2860.980307
690	2860.699995
691	2859.910879
692	2859.163452
693	2858.604308
694	2858.27533
695	2857.602179
696	2856.919121
697	2855.636689
698	2853.618533
699	2852.592421
700	2852.333564
701	2851.010663
702	2849.465455
703	2847.768079
704	2847.689121
705	2846.30077
706	2845.725737
707	2844.311239
708	2843.352702
709	2842.219086
710	2841.413812
711	2839.664908
712	2838.31566
713	2836.681267
714	2834.9339
715	2833.700555
716	2833.159926
717	2831.31471
718	2830.453625
719	2829.324422
720	2828.800524
721	2827.248691
722	2826.16447
723	2824.941987
724	2824.352524
725	2823.537041
726	2822.387198
727	2821.324309
728	2821.131185
729	2820.125818
730	2818.718036
731	2817.753412
732	2816.461187
733	2814.793688
734	2813.237011
735	2811.990546
736	2809.95163
737	2809.19774
738	2808.97335
739	2808.583732
740	2807.461437
741	2806.051975
742	2805.135522
743	2804.108935
744	2804.038741
745	2801.972561
746	2801.098369
747	2799.824029
748	2798.146692
749	2796.966641
750	2796.721594
751	2794.924131
752	2793.405743
753	2793.256428
754	2791.94306
755	2789.718715
756	2787.97619
757	2786.82004
758	2785.940638
759	2785.375073
760	2784.44895
761	2782.644638
762	2780.497672
763	2778.759373
764	2777.595812
765	2777.0456
766	2774.521431
767	2774.125675
768	2772.987435
769	2772.071661
770	2770.397989
771	2768.445385
772	2768.006128
773	2766.409865
774	2765.548448
775	2765.022946
776	2764.087195
777	2763.151531
778	2762.358188
779	2761.853582
780	2761.091862
781	2760.210979
782	2759.002885
783	2758.260206
784	2755.251002
785	2753.733456
786	2751.079158
787	2750.44764
788	2749.4208
789	2747.461892
790	2746.736194
791	2745.961643
792	2745.088372
793	2744.314536
794	2741.77202
795	2740.966354
796	2738.313742
797	2737.370052
798	2736.237877
799	2736.029532
800	2735.115958
801	2733.242071
802	2731.616955
803	2729.381234
804	2727.049467
805	2725.512397
806	2723.020113
807	2721.852199
808	2721.492522
809	2720.585768
810	2718.260578
811	2717.61071
812	2717.280554
813	2716.640528
814	2716.481043
815	2715.596389
816	2714.504738
817	2712.841851
818	2712.104375
819	2711.487764
820	2709.517518
821	2708.745329
822	2707.918289
823	2707.286066
824	2706.457697
825	2705.334494
826	2703.346512
827	2702.512374
828	2701.306495
829	2700.222774
830	2698.459692
831	2697.574081
832	2696.891294
833	2696.131169
834	2694.794352
835	2693.41103
836	2692.605695
837	2690.650663
838	2689.606907
839	2688.079082
840	2686.571243
841	2686.085197
842	2685.74229
843	2684.547002
844	2682.994484
845	2681.675308
846	2681.211734
847	2680.820003
848	2680.533896
849	2680.224089
850	2678.446625
851	2677.611955
852	2675.933941
853	2673.185083
854	2672.549548
855	2671.69899
856	2670.93273
857	2670.226084
858	2670.151875
859	2668.40094
860	2666.78042
861	2665.992814
862	2665.087249
863	2664.458632
864	2663.880927
865	2661.686723
866	2661.229794
867	2660.56898
868	2659.658839
869	2659.065471
870	2656.159879
871	2655.380622
872	2654.775771
873	2653.21889
874	2652.456742
875	2649.558067
876	2647.816624
877	2644.380446
878	2643.645777
879	2641.753572
880	2640.614438
881	2639.080566
882	2637.601301
883	2636.897959
884	2636.031041
885	2635.44579
886	2632.872005
887	2632.393079
888	2631.229396
889	2629.617368
890	2628.868268
891	2625.443537
892	2624.313073
893	2623.080009
894	2622.263498
895	2621.684953
896	2619.841262
897	2619.538333
898	2618.743332
899	2615.469035
900	2614.705925
901	2612.149828
902	2611.616242
903	2610.944841
904	2610.631899
905	2609.844881
906	2609.081223
907	2607.190812
908	2606.028714
909	2604.855643
910	2603.30281
911	2603.250534
912	2601.45481
913	2600.356953
914	2599.321922
915	2598.539938
916	2597.990651
917	2597.705765
918	2597.115286
919	2596.707899
920	2595.837463
921	2594.627376
922	2592.118845
923	2589.676731
924	2589.064635
925	2588.567307
926	2587.208564
927	2585.782676
928	2585.229853
929	2584.743654
930	2583.985092
931	2583.380704
932	2581.717938
933	2580.585034
934	2577.884917
935	2577.027695
936	2575.885549
937	2575.369971
938	2573.828925
939	2572.449419
940	2571.705541
941	2570.975265
942	2570.301708
943	2569.651814
944	2569.139814
945	2568.608483
946	2567.201788
947	2566.376191
948	2565.648014
949	2564.9474
950	2563.521337
951	2562.195539
952	2561.112248
953	2559.836459
954	2559.131192
955	2557.790098
956	2556.676921
957	2555.553669
958	2555.139363
959	2553.998248
960	2552.571161
961	2551.798674
962	2550.165278
963	2549.5
964	2546.265946
965	2544.38195
966	2543.903098
967	2541.882934
968	2540.806271
969	2538.230871
970	2537.532842
971	2536.890528
972	2535.848911
973	2533.281382
974	2532.695767
975	2530.779282
976	2529.728466
977	2528.091252
978	2526.829255
979	2523.435091
980	2522.667851
981	2521.672054
982	2519.965703
983	2519.373327
984	2518.947726
985	2518.275623
986	2517.588776
987	2515.483961
988	2514.749372
989	2513.592917
990	2511.254583
991	2510.474061
992	2508.553525
993	2507.988042
994	2506.467335
995	2505.301676
996	2504.816277
997	2503.211348
998	2502.329363
999	2500.558531
